url,source,httpStatus,redirected,redirectLocation,robotsBlocked,noindex,canonical,canonicalSelf,inSitemap,internalLinked,hubLinked,issues,error
https://nursenest.ca/blog/ar-intl-acs-nursing-first-hour-intl-topic-089,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-acs-nursing-first-hour-intl-topic-117,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-acute-asthma-airway-intl-topic-016,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-acute-asthma-airway-intl-topic-044,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-acute-asthma-airway-intl-topic-072,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-acute-asthma-airway-intl-topic-100,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-acute-asthma-airway-intl-topic-128,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-acute-heart-failure-decomp-intl-topic-024,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-acute-heart-failure-decomp-intl-topic-052,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-acute-heart-failure-decomp-intl-topic-080,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-acute-heart-failure-decomp-intl-topic-108,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-acute-heart-failure-decomp-intl-topic-136,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-acute-intoxication-stabilization-intl-topic-027,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-acute-intoxication-stabilization-intl-topic-055,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-acute-intoxication-stabilization-intl-topic-083,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-acute-intoxication-stabilization-intl-topic-111,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-acute-intoxication-stabilization-intl-topic-139,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-aki-fluid-balance-intl-topic-008,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-aki-fluid-balance-intl-topic-036,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-aki-fluid-balance-intl-topic-064,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-aki-fluid-balance-intl-topic-092,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-aki-fluid-balance-intl-topic-120,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-anticoagulation-bleeding-teaching-intl-topic-023,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-anticoagulation-bleeding-teaching-intl-topic-051,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-anticoagulation-bleeding-teaching-intl-topic-079,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-anticoagulation-bleeding-teaching-intl-topic-107,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-anticoagulation-bleeding-teaching-intl-topic-135,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-arrhythmia-syncope-monitoring-intl-topic-025,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-arrhythmia-syncope-monitoring-intl-topic-053,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
